batter,batter_name,decision_adv_per100
572816,corey dickerson,0.42018217
642336,francisco mejía,0.37208256
624503,nick gordon,0.36148614
664058,david fletcher,0.3574976
571980,tyler naquin,0.32764274
686823,will brennan,0.30262843
623205,andrew velazquez,0.2979567
622682,víctor reyes,0.29458702
640492,josé azocar,0.2880963
595879,javier báez,0.28197697
